row,wavelength,n_real,n_imag,aa,bb
209,0.532,1.3,0.0,5,0.13
210,0.532,1.3,0.0,5,0.14
211,0.532,1.3,0.0,5,0.15
212,0.532,1.3,0.0,5,0.16
213,0.532,1.3,0.0,5,0.17
214,0.532,1.3,0.0,5,0.18
215,0.532,1.3,0.0,5,0.19
216,0.532,1.3,0.0,5,0.2
217,0.532,1.3,0.0,5,0.21
218,0.532,1.3,0.0,5,0.22
219,0.532,1.3,0.0,5,0.23
220,0.532,1.3,0.0,5,0.24
221,0.532,1.3,0.0,5,0.25
222,0.532,1.3,0.0,5,0.26
223,0.532,1.3,0.0,5,0.27
224,0.532,1.3,0.0,5,0.28
225,0.532,1.3,0.0,5,0.29
226,0.532,1.3,0.0,5,0.3
227,0.532,1.3,0.0,5,0.31
228,0.532,1.3,0.0,5,0.32
229,0.532,1.3,0.0,5,0.33
230,0.532,1.3,0.0,5,0.34
231,0.532,1.3,0.0,5,0.35
232,0.532,1.3,0.0,5,0.36
233,0.532,1.3,0.0,5,0.37
234,0.532,1.3,0.0,5,0.38
235,0.532,1.3,0.0,5,0.39
236,0.532,1.3,0.0,5,0.4
237,0.532,1.3,0.0,5,0.41
238,0.532,1.3,0.0,5,0.42
239,0.532,1.3,0.0,5,0.43
240,0.532,1.3,0.0,5,0.44
241,0.532,1.3,0.0,5,0.45
242,0.532,1.3,0.0,5,0.46
243,0.532,1.3,0.0,5,0.47
244,0.532,1.3,0.0,5,0.48
245,0.532,1.3,0.0,5,0.49
246,0.532,1.3,0.0,6,0.01
247,0.532,1.3,0.0,6,0.02
248,0.532,1.3,0.0,6,0.03
249,0.532,1.3,0.0,6,0.04
250,0.532,1.3,0.0,6,0.05
251,0.532,1.3,0.0,6,0.06
252,0.532,1.3,0.0,6,0.07
253,0.532,1.3,0.0,6,0.08
254,0.532,1.3,0.0,6,0.09
255,0.532,1.3,0.0,6,0.1
256,0.532,1.3,0.0,6,0.11
257,0.532,1.3,0.0,6,0.12
258,0.532,1.3,0.0,6,0.13
259,0.532,1.3,0.0,6,0.14
260,0.532,1.3,0.0,6,0.15
261,0.532,1.3,0.0,6,0.16
262,0.532,1.3,0.0,6,0.17
263,0.532,1.3,0.0,6,0.18
264,0.532,1.3,0.0,6,0.19
265,0.532,1.3,0.0,6,0.2
266,0.532,1.3,0.0,6,0.21
267,0.532,1.3,0.0,6,0.22
268,0.532,1.3,0.0,6,0.23
269,0.532,1.3,0.0,6,0.24
270,0.532,1.3,0.0,6,0.25
271,0.532,1.3,0.0,6,0.26
272,0.532,1.3,0.0,6,0.27
273,0.532,1.3,0.0,6,0.28
274,0.532,1.3,0.0,6,0.29
275,0.532,1.3,0.0,6,0.3
276,0.532,1.3,0.0,6,0.31
277,0.532,1.3,0.0,6,0.32
278,0.532,1.3,0.0,6,0.33
279,0.532,1.3,0.0,6,0.34
280,0.532,1.3,0.0,6,0.35
281,0.532,1.3,0.0,6,0.36
282,0.532,1.3,0.0,6,0.37
283,0.532,1.3,0.0,6,0.38
284,0.532,1.3,0.0,6,0.39
285,0.532,1.3,0.0,6,0.4
286,0.532,1.3,0.0,6,0.41
287,0.532,1.3,0.0,6,0.42
288,0.532,1.3,0.0,6,0.43
289,0.532,1.3,0.0,6,0.44
290,0.532,1.3,0.0,6,0.45
291,0.532,1.3,0.0,6,0.46
292,0.532,1.3,0.0,6,0.47
293,0.532,1.3,0.0,6,0.48
294,0.532,1.3,0.0,6,0.49
295,0.532,1.3,0.0,7,0.01
296,0.532,1.3,0.0,7,0.02
297,0.532,1.3,0.0,7,0.03
298,0.532,1.3,0.0,7,0.04
299,0.532,1.3,0.0,7,0.05
300,0.532,1.3,0.0,7,0.06
301,0.532,1.3,0.0,7,0.07
302,0.532,1.3,0.0,7,0.08
303,0.532,1.3,0.0,7,0.09
304,0.532,1.3,0.0,7,0.1
305,0.532,1.3,0.0,7,0.11
306,0.532,1.3,0.0,7,0.12
307,0.532,1.3,0.0,7,0.13
308,0.532,1.3,0.0,7,0.14
309,0.532,1.3,0.0,7,0.15
310,0.532,1.3,0.0,7,0.16
311,0.532,1.3,0.0,7,0.17
312,0.532,1.3,0.0,7,0.18
313,0.532,1.3,0.0,7,0.19
314,0.532,1.3,0.0,7,0.2
315,0.532,1.3,0.0,7,0.21
316,0.532,1.3,0.0,7,0.22
317,0.532,1.3,0.0,7,0.23
318,0.532,1.3,0.0,7,0.24
319,0.532,1.3,0.0,7,0.25
320,0.532,1.3,0.0,7,0.26
321,0.532,1.3,0.0,7,0.27
322,0.532,1.3,0.0,7,0.28
323,0.532,1.3,0.0,7,0.29
324,0.532,1.3,0.0,7,0.3
325,0.532,1.3,0.0,7,0.31
326,0.532,1.3,0.0,7,0.32
327,0.532,1.3,0.0,7,0.33
328,0.532,1.3,0.0,7,0.34
329,0.532,1.3,0.0,7,0.35
330,0.532,1.3,0.0,7,0.36
331,0.532,1.3,0.0,7,0.37
332,0.532,1.3,0.0,7,0.38
333,0.532,1.3,0.0,7,0.39
334,0.532,1.3,0.0,7,0.4
335,0.532,1.3,0.0,7,0.41
336,0.532,1.3,0.0,7,0.42
337,0.532,1.3,0.0,7,0.43
338,0.532,1.3,0.0,7,0.44
339,0.532,1.3,0.0,7,0.45
340,0.532,1.3,0.0,7,0.46
341,0.532,1.3,0.0,7,0.47
342,0.532,1.3,0.0,7,0.48
343,0.532,1.3,0.0,7,0.49
344,0.532,1.3,0.0,8,0.01
345,0.532,1.3,0.0,8,0.02
346,0.532,1.3,0.0,8,0.03
347,0.532,1.3,0.0,8,0.04
348,0.532,1.3,0.0,8,0.05
349,0.532,1.3,0.0,8,0.06
350,0.532,1.3,0.0,8,0.07
351,0.532,1.3,0.0,8,0.08
352,0.532,1.3,0.0,8,0.09
353,0.532,1.3,0.0,8,0.1
354,0.532,1.3,0.0,8,0.11
355,0.532,1.3,0.0,8,0.12
356,0.532,1.3,0.0,8,0.13
357,0.532,1.3,0.0,8,0.14
358,0.532,1.3,0.0,8,0.15
359,0.532,1.3,0.0,8,0.16
360,0.532,1.3,0.0,8,0.17
361,0.532,1.3,0.0,8,0.18
362,0.532,1.3,0.0,8,0.19
363,0.532,1.3,0.0,8,0.2
364,0.532,1.3,0.0,8,0.21
365,0.532,1.3,0.0,8,0.22
366,0.532,1.3,0.0,8,0.23
367,0.532,1.3,0.0,8,0.24
368,0.532,1.3,0.0,8,0.25
369,0.532,1.3,0.0,8,0.26
370,0.532,1.3,0.0,8,0.27
371,0.532,1.3,0.0,8,0.28
372,0.532,1.3,0.0,8,0.29
373,0.532,1.3,0.0,8,0.3
374,0.532,1.3,0.0,8,0.31
375,0.532,1.3,0.0,8,0.32
376,0.532,1.3,0.0,8,0.33
377,0.532,1.3,0.0,8,0.34
378,0.532,1.3,0.0,8,0.35
379,0.532,1.3,0.0,8,0.36
380,0.532,1.3,0.0,8,0.37
381,0.532,1.3,0.0,8,0.38
382,0.532,1.3,0.0,8,0.39
383,0.532,1.3,0.0,8,0.4
384,0.532,1.3,0.0,8,0.41
385,0.532,1.3,0.0,8,0.42
386,0.532,1.3,0.0,8,0.43
387,0.532,1.3,0.0,8,0.44
388,0.532,1.3,0.0,8,0.45
389,0.532,1.3,0.0,8,0.46
390,0.532,1.3,0.0,8,0.47
391,0.532,1.3,0.0,8,0.48
392,0.532,1.3,0.0,8,0.49
393,0.532,1.3,0.0,9,0.01
394,0.532,1.3,0.0,9,0.02
395,0.532,1.3,0.0,9,0.03
396,0.532,1.3,0.0,9,0.04
397,0.532,1.3,0.0,9,0.05
398,0.532,1.3,0.0,9,0.06
399,0.532,1.3,0.0,9,0.07
400,0.532,1.3,0.0,9,0.08
401,0.532,1.3,0.0,9,0.09
402,0.532,1.3,0.0,9,0.1
403,0.532,1.3,0.0,9,0.11
404,0.532,1.3,0.0,9,0.12
405,0.532,1.3,0.0,9,0.13
406,0.532,1.3,0.0,9,0.14
407,0.532,1.3,0.0,9,0.15
408,0.532,1.3,0.0,9,0.16
409,0.532,1.3,0.0,9,0.17
410,0.532,1.3,0.0,9,0.18
411,0.532,1.3,0.0,9,0.19
412,0.532,1.3,0.0,9,0.2
413,0.532,1.3,0.0,9,0.21
414,0.532,1.3,0.0,9,0.22
415,0.532,1.3,0.0,9,0.23
416,0.532,1.3,0.0,9,0.24
417,0.532,1.3,0.0,9,0.25
418,0.532,1.3,0.0,9,0.26
419,0.532,1.3,0.0,9,0.27
420,0.532,1.3,0.0,9,0.28
421,0.532,1.3,0.0,9,0.29
422,0.532,1.3,0.0,9,0.3
423,0.532,1.3,0.0,9,0.31
424,0.532,1.3,0.0,9,0.32
425,0.532,1.3,0.0,9,0.33
426,0.532,1.3,0.0,9,0.34
427,0.532,1.3,0.0,9,0.35
428,0.532,1.3,0.0,9,0.36
429,0.532,1.3,0.0,9,0.37
430,0.532,1.3,0.0,9,0.38
431,0.532,1.3,0.0,9,0.39
432,0.532,1.3,0.0,9,0.4
433,0.532,1.3,0.0,9,0.41
434,0.532,1.3,0.0,9,0.42
435,0.532,1.3,0.0,9,0.43
436,0.532,1.3,0.0,9,0.44
437,0.532,1.3,0.0,9,0.45
438,0.532,1.3,0.0,9,0.46
439,0.532,1.3,0.0,9,0.47
440,0.532,1.3,0.0,9,0.48
441,0.532,1.3,0.0,9,0.49
442,0.532,1.3,0.0,10,0.01
443,0.532,1.3,0.0,10,0.02
444,0.532,1.3,0.0,10,0.03
445,0.532,1.3,0.0,10,0.04
446,0.532,1.3,0.0,10,0.05
447,0.532,1.3,0.0,10,0.06
448,0.532,1.3,0.0,10,0.07
449,0.532,1.3,0.0,10,0.08
450,0.532,1.3,0.0,10,0.09
451,0.532,1.3,0.0,10,0.1
452,0.532,1.3,0.0,10,0.11
453,0.532,1.3,0.0,10,0.12
454,0.532,1.3,0.0,10,0.13
455,0.532,1.3,0.0,10,0.14
456,0.532,1.3,0.0,10,0.15
457,0.532,1.3,0.0,10,0.16
